player_id,player,college_team,college_season,college_targets,college_contested_targets,college_contested_receptions,college_cc_rate,nfl_team,nfl_season,years_after_college,nfl_targets,nfl_contested_targets,nfl_contested_receptions,nfl_cc_rate,nfl_receptions,nfl_rec_yards,nfl_rec_tds
23226,Kwamie Lassiter II,KANSAS,2021,79,10,5,0.5,Bengals,2022,1,0,0,0,,0,0,0
23226,Kwamie Lassiter II,KANSAS,2021,79,10,5,0.5,Bengals,2023,2,1,0,0,,1,2,0
25276,Samori Toure,NEBRASKA,2021,78,8,3,0.375,Packers,2022,1,10,0,0,,5,82,1
25276,Samori Toure,NEBRASKA,2021,78,8,3,0.375,Packers,2023,2,19,5,1,0.2,9,80,0
25276,Samori Toure,NEBRASKA,2021,78,8,3,0.375,Saints,2025,4,3,0,0,,1,3,0
32933,Britain Covey,UTAH,2021,66,13,7,0.5384615384615384,Eagles,2022,1,0,0,0,,0,0,0
32933,Britain Covey,UTAH,2021,66,13,7,0.5384615384615384,Eagles,2023,2,6,1,0,0.0,4,42,0
32933,Britain Covey,UTAH,2021,66,13,7,0.5384615384615384,Eagles,2024,3,10,1,1,1.0,9,55,0
32933,Britain Covey,UTAH,2021,66,13,7,0.5384615384615384,Eagles,2025,4,4,1,0,0.0,2,20,0
40408,Kendric Pryor,WISCONSIN,2021,60,9,2,0.2222222222222222,Bengals,2024,3,1,1,1,1.0,1,9,0
40573,Velus Jones Jr.,TENNESSEE,2021,73,7,3,0.4285714285714285,Bears,2022,1,12,3,1,0.3333333333333333,7,107,1
40573,Velus Jones Jr.,TENNESSEE,2021,73,7,3,0.4285714285714285,Bears,2023,2,8,2,0,0.0,4,20,0
40666,Brandon Johnson,UCF,2021,66,14,8,0.5714285714285714,Broncos,2022,1,12,3,1,0.3333333333333333,6,42,1
40666,Brandon Johnson,UCF,2021,66,14,8,0.5714285714285714,Broncos,2023,2,32,8,3,0.375,20,286,4
40666,Brandon Johnson,UCF,2021,66,14,8,0.5714285714285714,Steelers,2024,3,1,0,0,,1,9,0
41991,Jalen Virgil,APP STATE,2021,24,5,1,0.2,Broncos,2022,1,4,0,0,,2,75,1
41991,Jalen Virgil,APP STATE,2021,24,5,1,0.2,Bills,2024,3,0,0,0,,0,0,0
55038,Charlie Jones,IOWA,2021,35,6,3,0.5,Bengals,2023,2,9,0,0,,7,64,0
