player_id,player,nfl_team,nfl_season,nfl_targets,nfl_contested_targets,nfl_contested_receptions,nfl_cc_rate,nfl_receptions,nfl_rec_yards,nfl_rec_tds,nfl_yac,nfl_yac_per_rec
4363,DeSean Jackson,Ravens,2022,19,5,1,0.2,10,176,0,24,2.4
6156,A.J. Green,Cardinals,2022,52,15,8,0.5333333333333333,29,282,2,71,2.5
6158,Julio Jones,Buccaneers,2022,46,8,2,0.25,25,309,2,132,5.3
6158,Julio Jones,Eagles,2023,19,4,1,0.25,11,74,3,27,2.5
6216,Randall Cobb,Packers,2022,51,10,2,0.2,34,417,1,182,5.3
6216,Randall Cobb,Jets,2023,19,3,0,0.0,6,41,1,25,4.2
7092,T.Y. Hilton,Cowboys,2022,11,4,2,0.5,7,121,0,35,5.0
7158,Marvin Jones Jr.,Jaguars,2022,86,17,10,0.5882352941176471,47,537,3,99,2.1
7158,Marvin Jones Jr.,Lions,2023,10,0,0,,5,34,0,9,1.8
7330,Cole Beasley,Bills,2022,8,0,0,,6,35,0,15,2.5
7618,Josh Gordon,Titans,2022,1,0,0,,0,0,0,0,0.0
7808,DeAndre Hopkins,Cardinals,2022,98,23,11,0.4782608695652174,66,733,3,182,2.8
7808,DeAndre Hopkins,Titans,2023,141,24,5,0.2083333333333333,77,1083,7,238,3.1
7808,DeAndre Hopkins,Chiefs,2024,85,25,12,0.48,56,610,5,110,2.0
7808,DeAndre Hopkins,Ravens,2025,43,19,12,0.631578947368421,24,358,2,68,2.8
7822,Robert Woods,Titans,2022,84,16,7,0.4375,54,544,2,182,3.4
7822,Robert Woods,Texans,2023,72,20,8,0.4,41,435,1,135,3.3
7822,Robert Woods,Texans,2024,31,2,1,0.5,20,203,0,73,3.6
7857,Keenan Allen,Chargers,2022,88,12,5,0.4166666666666667,66,752,4,251,3.8
7857,Keenan Allen,Chargers,2023,156,21,11,0.5238095238095238,110,1273,7,399,3.6
7857,Keenan Allen,Bears,2024,127,25,15,0.6,74,773,7,243,3.3
7857,Keenan Allen,Chargers,2025,122,27,12,0.4444444444444444,82,808,4,247,3.0
7859,Marquise Goodwin,Seahawks,2022,41,8,4,0.5,28,408,4,145,5.2
7859,Marquise Goodwin,Browns,2023,13,2,0,0.0,4,67,0,21,5.3
8288,Adam Thielen,Vikings,2022,111,21,4,0.1904761904761904,72,719,6,164,2.3
8288,Adam Thielen,Panthers,2023,138,12,6,0.5,105,1022,4,351,3.3
8288,Adam Thielen,Panthers,2024,64,12,7,0.5833333333333334,48,615,5,156,3.3
8288,Adam Thielen,Steelers,2025,33,10,5,0.5,20,188,0,47,2.4
8639,Sammy Watkins,Ravens,2022,28,5,2,0.4,16,325,0,126,7.9
8642,Mike Evans,Buccaneers,2022,135,31,17,0.5483870967741935,79,1217,6,264,3.3
8642,Mike Evans,Buccaneers,2023,138,30,16,0.5333333333333333,81,1338,13,356,4.4
8642,Mike Evans,Buccaneers,2024,114,21,12,0.5714285714285714,75,1010,11,222,3.0
