player_id,player,college_seasons,first_college_season,last_college_season,college_targets,college_receptions,college_rec_yards,college_rec_tds,college_contested_targets,college_contested_receptions,college_cc_rate_weighted,nfl_seasons,first_nfl_season,last_nfl_season,nfl_targets,nfl_receptions,nfl_rec_yards,nfl_rec_tds,nfl_contested_targets,nfl_contested_receptions,nfl_cc_rate_weighted
23226,Kwamie Lassiter II,1,2021,2021,79,59,653,3,10,5,0.5,2,2022,2023,1,1,2,0,0,0,
25276,Samori Toure,1,2021,2021,78,48,951,5,8,3,0.375,3,2022,2025,32,15,165,1,5,1,0.2
32933,Britain Covey,1,2021,2021,66,46,467,2,13,7,0.5384615384615384,4,2022,2025,20,15,117,0,3,1,0.3333333333333333
40408,Kendric Pryor,1,2021,2021,60,31,406,3,9,2,0.2222222222222222,1,2024,2024,1,1,9,0,1,1,1.0
40573,Velus Jones Jr.,1,2021,2021,73,54,734,6,7,3,0.42857142857142855,2,2022,2023,20,11,127,1,5,1,0.2
40666,Brandon Johnson,1,2021,2021,66,38,560,11,14,8,0.5714285714285714,3,2022,2024,45,27,337,5,11,4,0.36363636363636365
41991,Jalen Virgil,1,2021,2021,24,12,151,0,5,1,0.2,2,2022,2024,4,2,75,1,0,0,
55038,Charlie Jones,2,2021,2022,186,118,1500,15,49,23,0.46938775510204084,3,2023,2025,11,8,69,0,0,0,
61107,Tyrell Shavers,2,2021,2022,104,52,801,4,16,4,0.25,2,2024,2025,24,16,314,2,3,1,0.3333333333333333
61295,Dennis Houston,1,2021,2021,142,93,1077,6,24,11,0.4583333333333333,1,2022,2022,7,2,16,0,3,2,0.6666666666666666
61359,Josh Ali,1,2021,2021,61,42,607,3,8,0,0.0,1,2022,2022,1,0,0,0,0,0,
61418,Calvin Austin III,1,2021,2021,130,76,1165,8,28,7,0.25,3,2023,2025,150,85,1108,8,29,13,0.4482758620689655
61457,Braylon Sanders,1,2021,2021,55,23,496,3,13,2,0.15384615384615385,1,2022,2022,3,2,17,0,0,0,
61478,Lance McCutcheon,1,2021,2021,93,53,1015,7,17,8,0.47058823529411764,1,2022,2022,4,0,0,0,2,0,0.0
61501,Elijah Cooks,2,2021,2022,135,81,1211,14,51,22,0.43137254901960786,2,2023,2024,4,3,38,0,0,0,
61544,Kyric McGowan,1,2021,2021,70,38,475,7,13,4,0.3076923076923077,1,2022,2022,0,0,0,0,0,0,
61588,Johnny Johnson III,1,2021,2021,37,26,321,1,11,4,0.36363636363636365,2,2022,2023,0,0,0,0,0,0,
61610,Bo Melton,1,2021,2021,98,58,664,3,17,4,0.23529411764705882,3,2023,2025,53,29,422,2,13,8,0.6153846153846154
61637,Jalen Tolbert,1,2021,2021,138,83,1478,8,31,12,0.3870967741935484,4,2022,2025,154,95,1143,10,43,21,0.4883720930232558
61811,Tay Martin,1,2021,2021,100,64,928,7,20,9,0.45,4,2022,2025,4,3,72,1,1,0,0.0
63707,Rashid Shaheed,1,2021,2021,75,41,724,4,12,5,0.4166666666666667,4,2022,2025,237,153,2243,12,31,11,0.3548387096774194
63721,Colton Dowell,2,2021,2022,141,92,1503,8,28,17,0.6071428571428571,1,2023,2023,2,1,3,0,0,0,
64309,Daylen Baldwin,1,2021,2021,32,16,250,2,6,0,0.0,1,2022,2022,2,2,25,0,1,1,1.0
64310,Montrell Washington,1,2021,2021,85,60,854,9,10,5,0.5,2,2022,2024,10,4,2,0,3,0,0.0
66272,Malachi Corley,3,2021,2023,346,240,2838,27,49,14,0.2857142857142857,2,2024,2025,19,14,95,0,3,3,1.0
66581,Christian Watson,1,2021,2021,65,42,822,7,7,4,0.5714285714285714,4,2022,2025,233,135,2288,20,70,36,0.5142857142857142
73774,Rome Odunze,3,2021,2023,305,185,2847,24,48,21,0.4375,2,2024,2025,197,103,1434,9,39,20,0.5128205128205128
76366,Johnny Wilson,3,2021,2023,172,88,1452,8,54,20,0.37037037037037035,1,2024,2024,17,6,47,1,6,1,0.16666666666666666
77975,A.T. Perry,2,2021,2022,227,128,2154,24,48,17,0.3541666666666667,1,2023,2023,20,12,246,4,7,4,0.5714285714285714
77985,Antoine Green,2,2021,2022,106,67,1300,12,19,10,0.5263157894736842,1,2023,2023,2,1,2,0,1,0,0.0
77997,Jake Bobo,2,2021,2022,194,132,1605,8,49,24,0.4897959183673469,3,2023,2025,47,36,332,3,10,7,0.7
78021,Justyn Ross,1,2021,2021,78,47,517,3,13,6,0.46153846153846156,2,2023,2024,13,6,53,0,3,1,0.3333333333333333
78038,Alec Pierce,1,2021,2021,76,48,791,7,26,13,0.5,4,2022,2025,319,165,3047,17,111,46,0.4144144144144144
78092,Tyquan Thornton,1,2021,2021,92,55,868,8,15,7,0.4666666666666667,4,2022,2025,115,58,823,5,23,7,0.30434782608695654
78148,Erik Ezukanma,1,2021,2021,76,48,732,4,17,9,0.5294117647058824,3,2022,2024,5,1,3,0,0,0,
78171,Jayden Reed,2,2021,2022,197,111,1604,13,52,25,0.4807692307692308,3,2023,2025,202,144,1940,15,31,13,0.41935483870967744
78187,Dylan Drummond,2,2021,2022,150,90,1109,9,36,10,0.2777777777777778,2,2023,2025,11,7,42,0,6,2,0.3333333333333333
78196,Derius Davis,2,2021,2022,103,69,913,6,14,5,0.35714285714285715,3,2023,2025,37,32,207,2,1,1,1.0
78874,Tank Dell,2,2021,2022,262,179,2489,26,29,14,0.4827586206896552,2,2023,2024,170,104,1491,10,31,16,0.5161290322580645
84117,Michael Woods II,1,2021,2021,53,34,431,2,8,3,0.375,2,2022,2024,34,15,147,0,6,1,0.16666666666666666
84136,Shedrick Jackson,2,2021,2022,102,54,731,1,25,8,0.32,2,2023,2025,6,4,56,1,2,0,0.0
84140,Khalil Shakir,1,2021,2021,119,79,1178,7,21,9,0.42857142857142855,4,2022,2025,265,205,2333,11,40,16,0.4
84150,Nikko Remigio,2,2021,2022,137,103,959,7,13,5,0.38461538461538464,2,2024,2025,7,3,69,0,1,0,0.0
84248,Bryce Oliver,3,2021,2023,266,153,2122,26,53,19,0.3584905660377358,2,2024,2025,8,7,103,0,0,0,
84288,Ronnie Bell,2,2021,2022,89,55,812,3,19,4,0.21052631578947367,3,2023,2025,23,10,113,4,9,3,0.3333333333333333
84292,Jalen Nailor,1,2021,2021,62,33,589,6,5,0,0.0,4,2022,2025,116,73,1151,11,19,12,0.631578947368421
84329,Romeo Doubs,1,2021,2021,119,82,1115,11,20,9,0.45,4,2022,2025,331,206,2455,21,91,42,0.46153846153846156
84345,Kevin Austin Jr.,1,2021,2021,77,43,786,6,24,13,0.5416666666666666,2,2024,2025,47,26,306,1,8,2,0.25
84355,Chris Olave,1,2021,2021,107,68,1040,13,16,10,0.625,4,2022,2025,475,303,3860,19,96,41,0.4270833333333333
84375,Jahan Dotson,1,2021,2021,141,92,1185,12,15,6,0.4,4,2022,2025,209,126,1573,12,45,21,0.4666666666666667
84423,Michael Wilson,2,2021,2022,74,47,618,4,16,8,0.5,3,2023,2025,276,173,2278,14,73,43,0.589041095890411
84425,Brycen Tremayne,2,2021,2022,107,60,753,8,35,17,0.4857142857142857,2,2024,2025,19,15,158,0,2,1,0.5
84434,Cedric Tillman,2,2021,2022,149,100,1413,12,34,17,0.5,3,2023,2025,137,74,890,5,23,10,0.43478260869565216
84463,Kyle Philips,1,2021,2021,97,60,747,10,11,3,0.2727272727272727,2,2022,2023,37,23,259,0,4,2,0.5
84480,Deven Thompkins,1,2021,2021,150,91,1589,9,38,13,0.34210526315789475,4,2022,2025,43,30,166,1,6,0,0.0
86519,Drake London,1,2021,2021,124,89,1086,7,29,17,0.5862068965517241,4,2022,2025,499,317,4046,22,139,68,0.4892086330935252
97078,Anthony Gould,3,2021,2023,134,82,1336,6,18,9,0.5,2,2024,2025,3,3,29,0,0,0,
97108,Malik Washington,3,2021,2023,312,222,2703,12,57,31,0.543859649122807,2,2024,2025,103,76,605,3,16,8,0.5
97116,Skyy Moore,1,2021,2021,121,92,1313,10,14,9,0.6428571428571429,4,2022,2025,83,50,611,1,9,3,0.3333333333333333
97156,Isaiah Williams,3,2021,2023,302,205,2186,14,34,11,0.3235294117647059,2,2024,2025,39,28,199,0,3,1,0.3333333333333333
97268,Zay Flowers,2,2021,2022,212,122,1823,17,26,12,0.46153846153846156,3,2023,2025,352,246,3212,14,42,21,0.5
97273,Jalen Moreno-Cropper,2,2021,2022,223,151,1859,16,29,7,0.2413793103448276,2,2024,2025,0,0,0,0,0,0,
97288,Tahj Washington,3,2021,2023,230,149,2197,12,36,14,0.3888888888888889,1,2025,2025,6,3,37,0,2,1,0.5
97399,Jamari Thrash,3,2021,2023,256,157,2472,16,38,12,0.3157894736842105,2,2024,2025,20,13,129,0,2,0,0.0
97400,John Metchie III,1,2021,2021,127,93,1052,7,17,9,0.5294117647058824,3,2023,2025,116,74,687,3,22,9,0.4090909090909091
97405,Garrett Wilson,1,2021,2021,107,72,1055,12,14,8,0.5714285714285714,4,2022,2025,542,323,3722,18,126,46,0.36507936507936506
97605,Rashee Rice,2,2021,2022,257,164,2089,19,50,20,0.4,3,2023,2025,213,160,1824,14,24,5,0.20833333333333334
97623,Jordan Whittington,3,2021,2023,157,108,1407,5,14,7,0.5,2,2024,2025,53,42,500,0,4,1,0.25
97774,Jonathan Mingo,2,2021,2022,122,74,1212,8,22,10,0.45454545454545453,3,2023,2025,137,62,615,0,25,6,0.24
97989,David Bell,1,2021,2021,137,93,1275,6,28,11,0.39285714285714285,3,2022,2024,57,42,418,3,13,7,0.5384615384615384
98005,Theo Wease Jr.,3,2022,2024,195,121,1865,13,45,23,0.5111111111111111,1,2025,2025,10,6,139,1,3,1,0.3333333333333333
98095,Joshua Cephus,3,2021,2023,310,230,2798,21,54,20,0.37037037037037035,1,2024,2024,0,0,0,0,0,0,
98847,Bub Means,2,2022,2023,124,64,1032,7,29,13,0.4482758620689655,1,2024,2024,15,9,118,1,4,2,0.5
98847,Jerrod Means,1,2021,2021,41,22,430,2,10,4,0.4,1,2024,2024,15,9,118,1,4,2,0.5
99197,Xavier Legette,3,2021,2023,129,91,1422,9,25,12,0.48,2,2024,2025,149,84,860,7,37,18,0.4864864864864865
99204,Ramel Keyton,3,2021,2023,130,69,1178,10,24,6,0.25,1,2024,2024,3,1,7,0,1,1,1.0
99207,Ainias Smith,3,2021,2023,190,120,1621,10,25,12,0.48,1,2024,2024,10,8,39,1,1,0,0.0
99218,Treylon Burks,1,2021,2021,98,66,1094,11,21,7,0.3333333333333333,4,2022,2025,125,67,869,3,31,12,0.3870967741935484
