player,college_team,college_season,college_contested_targets,college_contested_receptions,college_cc_rate
Nick Nash,S JOSE ST,2024,43,19,44.2
Charlie Jones,PURDUE,2022,43,20,46.5
Isaiah Winstead,E CAROLINA,2022,42,18,42.9
Elijah Cooks,S JOSE ST,2022,42,19,45.2
Will Sheppard,VANDERBILT,2022,41,11,26.8
Rashee Rice,SMU,2022,41,16,39.0
Jason Brownlee,SO MISS,2022,39,16,41.0
Landon Ruggieri,BRYANT,2024,39,24,61.5
Deven Thompkins,UTAH ST,2021,38,13,34.2
Christian Fredericksen,IDAHO ST,2024,38,19,50.0
